
# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
 0.294614  0.86219  i
 0.299047  0.795232  o
 0.30348  0.730953  o
 0.307913  0.669355  o
 0.312345  0.610436  o
 0.316778  0.554196  o
 0.321211  0.500637  o
 0.325644  0.449757  o
 0.330077  0.401558  o
 0.33451  0.356038  o
 0.338943  0.313197  o
 0.343376  0.273037  o
 0.347809  0.235556  o
 0.352242  0.200755  o
 0.356674  0.168634  o
 0.361107  0.139193  o
 0.36554  0.112431  o
 0.369973  0.0883493  o
 0.374406  0.0669472  o
 0.378839  0.048225  o
 0.383272  0.0321825  o
 0.387705  0.0188198  o
 0.392138  0.00813686  o
 0.396571  0.000133706  o
 0.401003 -0.00518967  o
 0.405436 -0.00783327  o
 0.409869 -0.00779708  o
 0.414302 -0.00508113  o
 0.418735  0.00031461  o
 0.423168  0.00839012  o
 0.427601  0.0191454  o
 0.432034  0.0325805  o
 0.436467  0.0486953  o
 0.4409  0.06749  o
 0.445332  0.0889644  o
 0.449765  0.113119  o
 0.454198  0.139952  o
 0.458631  0.169466  o
 0.463064  0.20166  o
 0.467497  0.236533  o
 0.47193  0.274086  o
 0.476363  0.314319  o
 0.480796  0.357232  o
 0.485229  0.402824  o
 0.489661  0.451096  o
 0.494094  0.502048  o
 0.498527  0.55568  o
 0.50296  0.611991  o
 0.507393  0.670983  o
 0.511826  0.732654  o
 0.516259  0.797005  o
 0.520692  0.864035  i
 0.525125  0.933746  i
 0.529558  1.00614  i
 0.53399  1.08121  i
 0.538423  1.15896  i
 0.542856  1.23938  i
 0.547289  1.32249  i
 0.551722  1.40828  i
 0.556155  1.49675  i
 0.560588  1.5879  i
 0.565021  1.68173  i
 0.569454  1.77824  i
 0.573887  1.87743  i
 0.578319  1.97929  i
 0.582752  2.08384  i
 0.587185  2.19107  i
 0.591618  2.30097  i
 0.596051  2.41356  i
 0.600484  2.52883  i
 0.604917  2.64677  i
 0.60935  2.7674  i
 0.613783  2.89071  i
 0.618216  3.01669  i
 0.622648  3.14536  i
 0.627081  3.2767  i
 0.631514  3.41073  i
 0.635947  3.54743  i
 0.64038  3.68682  i
 0.644813  3.82888  i
 0.649246  3.97363  i
 0.653679  4.12105  i
 0.658112  4.27115  i
 0.662545  4.42394  i
 0.666977  4.5794  i
 0.67141  4.73754  i
 0.675843  4.89837  i
 0.680276  5.06187  i
 0.684709  5.22805  i
 0.689142  5.39691  i
 0.693575  5.56846  i
 0.698008  5.74268  i
 0.702441  5.91958  i
 0.706874  6.09916  i
 0.711306  6.28142  i
 0.715739  6.46636  i
 0.720172  6.65398  i
 0.724605  6.84428  i
 0.729038  7.03726  i
 0.733471  7.23292  i


# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
 0.191576  3.17363  i
 0.197117  3.01249  i
 0.202658  2.85554  i
 0.208199  2.70277  i
 0.21374  2.55419  i
 0.219281  2.4098  i
 0.224822  2.2696  i
 0.230363  2.13358  i
 0.235905  2.00175  i
